lndbId,RadId,FindingId,contrast,energy,dissimilarity,homogeneity,correlation,ASM
1,1,1,0.014102564102564103,0.9348655182145794,0.014102564102564103,0.992948717948718,0.874222134265673,0.8739735371466142
1,1,2,0.010256410256410256,0.9663439745691292,0.010256410256410256,0.9948717948717949,0.816941694169417,0.9338206771860619
1,2,1,0.010256410256410256,0.9582559354733069,0.010256410256410256,0.9948717948717949,0.8567427338261628,0.9182544378698225
1,3,1,0.011538461538461539,0.9663205868965496,0.011538461538461539,0.9942307692307693,0.7895178699928039,0.9337754766600921
2,1,1,0.010256410256410256,0.953932740073338,0.010256410256410256,0.9948717948717949,0.8715719063545152,0.9099876725838265
2,1,2,0.008974358974358974,0.9726342697788269,0.008974358974358974,0.9955128205128205,0.8009623797025371,0.946017422748192
2,1,3,0.011538461538461539,0.9569819388552746,0.011538461538461539,0.9942307692307693,0.8414616244537538,0.9158144312952006
2,1,4,0.007692307692307693,0.9821199011977769,0.007692307692307693,0.9961538461538461,0.7233715569216218,0.9645595003287311
2,1,5,0.0038461538461538464,0.9923188729244901,0.0038461538461538464,0.9980769230769231,0.6647324306898774,0.9846967455621302
2,2,1,0.010256410256410256,0.9607364176340514,0.010256410256410256,0.9948717948717949,0.8465397668584919,0.9230144641683105
2,2,2,0.001282051282051282,0.9987183601592254,0.001282051282051282,0.9993589743589744,-0.0006414368184733801,0.9974383629191322
2,3,1,0.014102564102564103,0.9348655182145794,0.014102564102564103,0.992948717948718,0.874222134265673,0.8739735371466142
2,3,2,0.008974358974358974,0.9745221691942931,0.008974358974358974,0.9955128205128205,0.7832946359468952,0.9496934582511506
2,3,3,0.010256410256410256,0.9417070299076644,0.010256410256410256,0.9948717948717949,0.9004586241276171,0.8868121301775147
2,3,4,0.007692307692307693,0.9808521835206158,0.007692307692307693,0.9961538461538461,0.74609375,0.9620710059171598
2,3,5,0.011538461538461539,0.9663205868965496,0.011538461538461539,0.9942307692307693,0.7895178699928039,0.9337754766600921
3,1,1,0.014102564102564103,0.9531993085194715,0.014102564102564103,0.9929487179487179,0.8180487960047078,0.9085889217619987
3,1,2,0.010256410256410256,0.9707304230529871,0.010256410256410256,0.9948717948717949,0.7842174424234042,0.9423175542406312
3,1,3,0.007692307692307693,0.9789538251194365,0.007692307692307693,0.9961538461538462,0.7738638834529247,0.9583505917159763
3,2,1,0.005128205128205128,0.9897635178012386,0.005128205128205128,0.9974358974358974,0.6640826873385013,0.9796318211702827
3,3,1,0.00641025641025641,0.9853020775830197,0.00641025641025641,0.9967948717948718,0.7189796800691741,0.970820184089415
3,3,2,0.008974358974358974,0.9770454698214507,0.008974358974358974,0.9955128205128205,0.7540485146061848,0.9546178500986192
3,3,3,0.010256410256410256,0.9682212216176609,0.010256410256410256,0.9948717948717949,0.8042537172971955,0.9374523339907955
